country,link,description,title
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=37226423,"Ancient Egyptian Pharaoh. His name means ""Amun in the Opet Feast"", After serving as co-regent with his father, the Pharaoh Psusennes I, he became sole ruler in 993 BC. He ordered the decoration of the chapel of Isis ""Mistress of the Pyramids at Giza"" and built an extension to a temple at Memphis. He died in 992 BC and was buried with his father at Tanis. His tomb was discovered by Pierre Montet in 1940, and is famous for the gold burial mask and other treasures it contained. His remains were...[Read More] (Bio by: js)",Amenemope
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=7719949,"Ancient Egyptian Pharaoh. Born the third son of Ahmose I and Ahmose Nefretiri. He became the second ruler of the 18th Dynasty after his elder brothers predeceased him. On reaching the throne, Amenhotep I led a campaign against the Libyans who had launched an invasion against the Egyptian delta. He led an army to the western border and defeated the Libyans and their allies. He then suppressed a rebellion by Nubia in about year eight of his reign. He initiated building projects such as the temple...[Read More] (Bio by: Iola)",Amenhotep I
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=41630794,"Ancient Egyptian Pharaoh. He ruled during Egypt's Eighteenth Dynasty, one of that country's mot prosperous periods and his monuments indicate that as a young man he excelled in athletic as well as military pursuits. He began as co-regent with Thutmose III, becoming sole ruler on that Pharaoh's death in 1453 BC. As news of Thutmose's death spread the Asiatic cities took the opportunity to rebel against Egypt, but by the second year of his reign he had subdued the uprising and captured seven...[Read More] (Bio by: js)",Amenhotep II
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=7718887,"Ancient Egyptian Pharaoh. Born to Pharaoh Tuthmosis IV and his principal wife, Mutemwiya, it is probable that Amenhotep succeeded to the throne as a child, sometime between the ages of six and twelve years. He was the fifth ruler of the 18th dynasty, ruling between c. 1390 BC and 1353 BC. Amenhotep married in year two of his reign. Queen Tiy seems to have played an important part in his public and private life. She appeared on monuments more often and more prominently than any queen before her...[Read More] (Bio by: Iola)",Amenhotep III
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=7719965,"Ancient Egyptian Pharaoh. A mystery man, his origins unclear, Amenmeses is generally considered to be the fifth ruler of the 19th Dynasty. Although he succeeded Merneptah as pharaoh c. 1203 BC, scholars now question whether he has related to his predecessor, or simply an opportunistic usurper. The subsequent accession of Seti II may actually have been Seti-Merneptah who was intended to succeed Merneptah. Amenmesses also usurped a number of monuments dedicated to his predecessors. Inscriptions...[Read More] (Bio by: Iola)",Amenmeses
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=14110814,"Ancient Egyptian Royalty. Born a younger son of Ramses III and his Great Royal Wife, Tyti. He was recorded as being The Fan Bearer to the Right of the Pharaoh, Overseer of Horses, and a royal scribe. He was also the Superior of the Two Lands, which indicated that he had a role in the management of the administrative affairs of the kingdom. The prince died young, probably while still in his teens; all of his tomb art depicts him as wearing the side lock of a royal youth. His tomb, now designated...[Read More] (Bio by: Iola)",Amunherkhepsef
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=7719045,"Pharaoh. Ay was probably the son of Master of the Horse, Yuya, who was also father of Tiye, Amenhotep III's queen. He first appeared in the record as a Master of the Horse in the court of Akhenaten. He also held the position ""the favored one of the Good God, fan-bearer on the king's right hand, true king's scribe and god's father, trusted throughout the entire land, commander of chariotry"". During the reign of Akhenaten, he rose to the position of vizier and royal chancellor. After Akhenaten's...[Read More] (Bio by: Iola)",Ay
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=13163692,"Egyptian Queen. Born the daughter of Ramses II and one of the pharaoh’s consorts, probably Istnofret. Interestingly, the queen's name, rather than a more traditional Egyptian name, appears to be Syrian, and means Daughter of Anath. She was the first of four daughters Ramses II married in ancient pharaonic custom and bore him at least one child. Her name has been variously recorded as Bintanath, Bint-Anath, and Bintanat. (Bio by: Iola)",Bent'anta
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=7726754,"World War II Victoria Cross Recipient. Born in Thurso, Scotland, he was nicknamed Jock and served as a Brigadier General in command of the 7th Armored Division Support Group, British Army. On the dates of November 21-22, 1941, Brigadier Campbell was commanding the troops, including one regiment of tanks, in the area of Sidi Rezegh, Egypt. His small force was holding this important ground when it was repeatedly attacked by large numbers of enemy German tanks and infantry. Wherever the situation...[Read More] (Bio by: John ""J-Cat"" Griffith)","Campbell, John Charles"
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=7585596,"Noted Poet born and died in Alexandria (Egypt) of Greeks origins. He is best remembered for his books ""El Dios Abandona a Antonio,"" ""Ítaca,"" and ""Regresa y Tómame."" (Bio by: José L Bernabé Tronchoni)","Cavafis, Constantin"
Browse by Country: Eritrea,/cgi-bin/fg.cgi?page=gr&GRid=8538132,"Crimea War Victoria Cross Recipient. Born York, Upper Canada, he served as a Lieutenant in the 11th Hussars, British Army. During the Charge of the Light Brigade at the Battle of Balaclava, Russia, on October 25, 1854, Lieutenant Dunn was in command of troop of Light Dragoons horseman. At the height of the attack, Lieutenant Dunn, having emptied his revolver, used his saber to rescue a Sergeant by cutting down two or three Russian Lancers who had attacked from the rear. Later in the battle, he...[Read More] (Bio by: John ""J-Cat"" Griffith)","Dunn, LT. Alexander Roberts"
Browse by Country: Eritrea,/cgi-bin/fg.cgi?page=gr&GRid=7714806,"World War II Victoria Cross Medal Recipient. He served as a Subadar (Captain) in the 6th Rajputana Rifles, Indian Army. On February 7, 1941, Subadar led an attack on the enemy at Keren, Eritrea and subsequently repelled six counter-attacks. After the conflict without a shot left, he brought the few survivors of his company back. Five days later, when leading another attack, he was seriously wounded but continued to encourage his men until he died. For most prestigious gallantry, he was...[Read More] (Bio by: John ""J-Cat"" Griffith)","Ram, Richpal"
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=28640241,"Film Director. Born in Alexandria, Egypt, to Lebanese Christian parents, he studied acting in California in the 1940s and then went on to become one of Egypt's most distinguished film directors. Although his films were critical of United States foreign policy in the Middle East, he also tackled social ills, Muslim fundamentalism and Egypt's authoritarian regime. His 44 films and documentaries attempted to defend and bring back the spirit of multicultural tolerance that he had experienced in his...[Read More] (Bio by: Fred Beisser)","Chahine, Youssef"
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=34872650,"Egyptian Pharaoh. His name means ""Horus who Strikes"", and he ruled Ancient Egypt for about 32 years during the 1st Dynasty. He was the first pharaoh to be shown wearing the double crown of Upper and Lower Egypt, and who used the title ""King of the Two Lands"". He fought wars against the Bedouin tribes of Sinai and is also represented carrying out the ""first smiting of the East"". His tomb at Abydos features the earliest use of red granite in a monumental building. (Bio by: js)",Den
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=42711921,"Egyptian Pharaoh. He ruled for eleven years between 2528 BC and 2520 BC. He reigned during Egypt's Fourth Dynasty and was the first Pharaoh to adopt the title ""Son of Ra"", reflection of the increasing popularity of that deity. Recently it has been suggested that he may have ordered the construction of the great Sphinx at Giza, although his own pyramid was built at Abu Rawash, eight kilometres north of the Giza plateau. His pyramid was built on a natural rock outcrop which forms 45% of its core...[Read More] (Bio by: js)",Djedefre
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=34660961,"Pharaoh of Egypt. He was the third ruler of a united Ancient Egypt. His name means ""Horus who succours"", and he ruled for about 57 years during the 1st Dynasty, from approximately 3100 BC. The historian Manetho described him as a scholar who wrote a book of anatomy that was still in use in Greek times, 2000 years later. He fought military campaigns in Nubia, Libya and Sinai, making him the first Pharaoh to fight a war outside of Egypt's borders. On his death he was buried in a large tomb at...[Read More] (Bio by: js)",Djer
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=40974185,"Egyptian Pharaoh. He ruled Egypt from approximately 2635 BC until his death in 2610 BC and was the second Pharaoh of Egypt's Third Dynasty. He sent his army on an expedition to subdue the Sinai Peninsular and also ordered expeditions there to mine for turquoise and copper. There is a legend, inscribed on the ""Famine Stela"", that he rebuilt the temple of Khnum on the Island of Elephentine and in doing so brought a seven year famine to an end. He is best remembered for commissioning the famous...[Read More] (Bio by: js)",Djoser
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=41264399,"King of Eypt, 1922-1936.",Fuad I.
Browse by Country: Egypt,/cgi-bin/fg.cgi?page=gr&GRid=113226594,"Queen of Iran and first wife of Mohammad Reza Pahlavi known as last king of the Pahlavi Dynasty. She was the oldest member of the former ruling dynasty of Egypt, which ended with Fuad II of Egypt, her nephew. She was born at the Raʾs al-Tin royal palace in Alexandria, daughter of the sultan of Egypt later King Fuad I of Egypt and his second wife Nazli Sabri. Descendant of the noble dynasty of Mehmet Ali, Fawzia grew up together with her sisters Faiza, Faika, Fathiya and her brother, the...[Read More] (Bio by: Ruggero)","Fuad, Fawzia"
Browse by Country: Cote D'ivoire,/cgi-bin/fg.cgi?page=gr&GRid=131155634,"Roman Catholic Cardinal. A member of the Mbatto people, Bernard Agré was received into the Catholic faith at the age of six, and upon finishing his studies at the Catholic Mission of Memni, entered the Minor Seminary of Bingerville in 1941. Moving to the Major Seminary of the same city in 1947, a year later he entered the Major Seminary of Quidah, Dahomey, in present day Benin. Ordained priest at the Minor Seminary of Bingerville in July 1953, he successively served as vicar, teacher and...[Read More] (Bio by: Eman Bonnici)","Agré, Cardinal. Bernard"
Browse by Country: Cote D'ivoire,/cgi-bin/fg.cgi?page=gr&GRid=15362937,"Filmmaker. He was born in Forécariah, Guinea. He is best remembered for films such as ""Mouna, Le Rêve d'un Artiste"" (1969), ""Abusuan"" (1972), ""L'Herbe Sauvage"" (1977), ""Bal Poussière"" (1988), ""Le Sixième Doigt"" (1990), ""Rue Princesse"" (1994), ""Une Couleur Café"" (1997), and ""Caramel"" (2004). (Bio by: José L Bernabé Tronchoni)","Duparc, Henri"
Browse by Country: Cote D'ivoire,/cgi-bin/fg.cgi?page=gr&GRid=131990324,"Roman Catholic Cardinal. Born in the village of Pass, Bernard Yago entered seminary in Abidjan and was ordained priest in May 1947. Member of the teaching staff of the Minor Seminary of Bingerville and director of the Pre-Seminary École de Petit Clerics between 1947 and 1956, he pursued further studies at the Catholic Institute of Paris from 1957 until 1959. Appointed archbishop of the metropolitan see of Abidjan by Pope John XXIII, Yago received his episcopal consecration at the Patriarchal...[Read More] (Bio by: Eman Bonnici)","Yago, Cardinal. Bernard"
"Browse by Country: Congo, Republic Of The",/cgi-bin/fg.cgi?page=gr&GRid=155786363,"Roman Catholic Cardinal. Born in the small village of Mfinkabitoungou which has since ceased to exist, Émile Biayenda was the son of a farmer of the kòongó tradition. Frequenting the Catholic school of Mpangala between 1935 and 1937 and successively at Kindamba's Catholic mission from 1937 until 1942, he was received into the Catholic faith on May 7, 1938 receiving the name Émile on his baptism. Furthering his studies to Boundji's Catholic mission, he entered seminary in Brazzaville, being...[Read More] (Bio by: Eman Bonnici)","Biayenda, Cardinal. Émile"
"Browse by Country: Congo, Republic Of The",/cgi-bin/fg.cgi?page=gr&GRid=8120693,"African Leader. The first President of the Central African Republic after it achieved independence from France in 1960. Dacko was a native of Bouchia, Central Africa, and educated at the Ecole Normale in Brazzaville, Congo, where he studied to become a teacher before entering politics. He first served as a Member of Parliament in the Social Evolution Movement of Black Africa Party (MESAN), Minister of Agriculture, Stockbreeding, Water, and Forestry, and Minsiter of the Interior, Economy and...[Read More] (Bio by: K)","Dacko, David"
"Browse by Country: Congo, Republic Of The",/cgi-bin/fg.cgi?page=gr&GRid=48273141,"Congolese President. Ngouabi served as the President of the Republic of the Congo from January 1, 1969 to March 18, 1977. He was born to a family of humble origins.  In 1953, he entered military school and would serve in the military for the most of his life.   In 1965 Ngouabi created the first battalion of paratroopers in the Congo Republic.   He was first demoted in April 1966 for his leftist views and then arrested on July 29, 1968.   His arrest provoked discontent among the military and on...[Read More] (Bio by: Mr. Badger Hawkeye)","Ngouabi, Marien"
Browse by Country: Angola,/cgi-bin/fg.cgi?page=gr&GRid=48255835,"President of Angola. Neto served as the first President of Angola from 1975 to 1979, after leading the MPLA (Popular Movement for the Liberation of Angola) to victory in the war for independence. He was born to a Methodist pastor in Bengo Province, Angola.  Neto studied medicine at the universities of Coimbra and Lisbon in Portugal.   It was in Portugal where he combined his academic life with political activity and he was arrested in 1951 for his activism.   Neto finished his studies after he...[Read More] (Bio by: Mr. Badger Hawkeye)","Neto, Antonio Agostinho"
Browse by Country: Angola,/cgi-bin/fg.cgi?page=gr&GRid=7422368,"Angolan Rebel Leader. Head of the Anti Communist UNITA rebels. He was an ally of the US during the Angolan Civil War. After a UN brokered peace treaty, Savimbi went to the hills of Angola and continued to fight the government. He was killed in an ambush by government forces on February 22, 2002. (Bio by: Erik Lander)","Savimbi, Jonas"
Browse by Country: Algeria,/cgi-bin/fg.cgi?page=gr&GRid=10514557,"World War II Victoria Cross Recipient. He served in the British Army during World War II as a Acting Flight Sergeant in the 218th Squadron, Royal Air Force Volunteer Reserve. An 1941 graduate of the Leeds School of Architecture, after earning his flying wings in June, 1942 he was assigned to his Squadron. Already a recipient of the Distinguished Flying Medal, he was posthumously awarded the Victoria Cross for his bravery during the August 12, 1943 raid on Turin, Italy. His aircraft, a heavy...[Read More] (Bio by: Thom Painter)","Aaron, Arthur Louis"
Browse by Country: Algeria,/cgi-bin/fg.cgi?page=gr&GRid=90539083,"Singer. Called ""The Rose of Algeria"" but usually known simply as ""Warda"", she was perhaps the Arab world's leading vocalist over a 50 year career that saw her give countless concerts and sell millions of albums. Born Warda Muhammad al-Fatouki to Algerian and Lebanese parents in the Paris suburb of Puteaux, she began singing professionally at 11 and quickly became known for performing Algerian patriotic songs. Upon her 1962 marriage Warda's husband forbade her to sing, a decision that silenced...[Read More] (Bio by: Bob Hufford)","Al-Jazairia, Warda"
Browse by Country: Algeria,/cgi-bin/fg.cgi?page=gr&GRid=55503362,"Algerian Independence Leader.  He was born in the town of Mascara when Algeria was part of the Turkish Empire, and received a comprehensive education.  He made the hajj with his father in 1825 and returned to Algeria in 1830, shortly before the French invaded and supplanted the Turks.  Abd began guerrilla warfare, and within two years was the leader of the resistance.  For 15 years he prevented French control, but the French finally prevailed and Abd surrendered, was detained in France, and...[Read More] (Bio by: Bill McKern)","al-Qadir, Abd"
Browse by Country: Algeria,/cgi-bin/fg.cgi?page=gr&GRid=47806078,"Algerian Political, Military Leader.   Boumedienne served as the leader of Algeria from July 1965 to his passing in 1978.   He was born Mohammed Ben Brahim Boukharouba and adopted the name Houari Boumedienne after joining forces with rebels seeking independence from France.   Boumedienne became chief of staff of the National Liberation Front in 1960 and concentrated on building up the rebel forces.   After a treaty was signed with France in March 1962, problems broke out among the Algerian...[Read More] (Bio by: Mr. Badger Hawkeye)","Boumedienne, Houari"
Browse by Country: Algeria,/cgi-bin/fg.cgi?page=gr&GRid=46533110,"French Admiral. A career naval officer, he became commander of the French navy in 1939 and joined the Vichy government in 1940 as minister of the navy. After the fall of Pierre Laval in February of 1941, Darlan was named vice premier, foreign minister, and successor-designate to Marshal Petain; he was the actual head of government.  When Laval returned to power in April of 1942, he lost his cabinet posts, but was given command of the French armed forces.   In Algiers during the Allied landing...[Read More] (Bio by: Mr. Badger Hawkeye)","Darlan, Jean Francois"
Browse by Country: Algeria,/cgi-bin/fg.cgi?page=gr&GRid=26503317,"Roman Catholic Cardinal. A native of Chênex, Léon-Etienne Duval entered seminary in Annecy. Furthering his studies in Rome, he was ordained priest on December 18, 1926. Director of works in the diocese of Annecy, where he also taught at the local seminary, during the Second World War he supported the French Resistance. Named honorary canon and vicar general of Algiers in 1942, on November 3, 1946 he was elected bishop of the diocese of Constantine-Hippone by Pope Pius XII, receiving his...[Read More] (Bio by: Eman Bonnici)","Duval, Cardinal. Léon-Etienne"
Browse by Country: Algeria,/cgi-bin/fg.cgi?page=gr&GRid=14530057,"Singer. She was born Saadia Bediaf in Tessala, Algeria. She began singing for surviving. When she sang at weddings and parties as a youth, ""people gave me food to eat."" The artist, whose pioneering recordings inspired younger generations in her homeland and around the world was the title of ""mother of rai,"" the Algerian music of dissent. In Arabic the word rai means ""opinion"" or ""way of seeing."" In its early form, the music was rooted in the concerns of everyday people...the joys, the pains...[Read More] (Bio by: José L Bernabé Tronchoni)","Rimitti, Cheikha"
Browse by Country: Tonga,/cgi-bin/fg.cgi?page=gr&GRid=15687717,"Tongan King. He became king of the island nation of Tonga after the death of his mother Queen Sâlote Tupou III in 1965, and remained king until his death. (Bio by: Erik Lander)","Tupou IV, Taufa'ahau"
Browse by Country: Pitcairn Islands,/cgi-bin/fg.cgi?page=gr&GRid=9207777,"Mutineer.  Raised in a London, England poorhouse, he joined the crew of the ""HMS Bounty"" in 1787 under the alias Alexander Smith, apparently because of trouble with the law. Despite his shady background he had no trouble with Commander William Bligh until the Bounty's five-month stay in Tahiti (1788 to 1789), when he was flogged for ""neglect of duty"". During the mutiny on April 28, 1789, he helped [Read More] (Bio by: Robert Edwards)","Adams, John"
Browse by Country: Samoa,/cgi-bin/fg.cgi?page=gr&GRid=3770,"Author. Born in Edinburgh, Scotland, he, like many adolescents before him, he attempted to establish his life work by attending Edinburgh University pursuing the wrong vocation.  While studying engineering, Stevenson soon realized writing was his real passion.  However, he was handicapped by being frail and tubercular.  Although many remember him merely as a childrens book writer because of  ""Treasure Island,""  he was, however,  a prolific writer with many  novels, Essays and not least of all...[Read More] (Bio by: Donald Greyfield (inactive))Cause of death: Cerebral hemorrhage","Stevenson, Robert Louis"
Browse by Country: Samoa,/cgi-bin/fg.cgi?page=gr&GRid=19421176,"King of Samoa. He served as the King of Samoa from 1962 to 2007,  being one of the world's longest serving and oldest heads of state at the time of his death. He was educated in Auckland, New Zealand and when Samoa gained her independence in 1962 His Highness became co-head of state with Tupua Tamasese Mea'ole. After Tupua's passing in 1963, the king became the sole head of state and remained in that position until his death. He is known as one of the leaders that helped provide stability to...[Read More] (Bio by: Bigwoo)","Tanumafili II., Malietoa"
Browse by Country: Samoa,/cgi-bin/fg.cgi?page=gr&GRid=28117041,"Roman Catholic Cardinal. The son of an indigenous couple who rose to become the first Polynesian bishop and cardinal, Pio Taofinu'u was a native of Falealupo, a village located on the Savai'i island in the Samoan Archipelago. Receiving his education at the seminaries of Apia and Lano on the Wallis Island, he joined the Society of Mary in 1960 and underwent further studies at the Marist scholasticate in Greenmeadows, New Zealand, and at the Marist novitiate in New York. Ordained priest on...[Read More] (Bio by: Eman Bonnici)","Taofinu'u, Cardinal. Pio"
Browse by Country: Papua New Guinea,/cgi-bin/fg.cgi?page=gr&GRid=8170680,"World War II Victoria Cross Recipient. In May 1940, he enlisted in the 2nd/13th Australian Infantry Battalion which arrived in the Middle East in November 1940. He served in the Siege of Tobruk, Libya, from April 1941 until the garrison was relieved in December 1941. Promoted sergeant in September 1942, he was wounded on October 24, 1942 during the Battle of El Alamein and hospitalized. He embarked for Australia with his unit in January 1943 and served in the Huon peninsula campaign in the...[Read More] (Bio by: Anthony Staunton)","Chowne, Albert"
Browse by Country: Papua New Guinea,/cgi-bin/fg.cgi?page=gr&GRid=8170889,"World War II Victoria Cross Recipient. A native of Australia, he was gazetted for the award posthumously on January 12, 1943 for his actions as a corporal in the 2/9th Infantry Battalion of the 2nd Australian Imperial Force on September 3, 1942 at Milne Bay, New Guinea during World War II. The son of a barber, he received his formal education from Toowoomba State High School and Toowoomba Technical College, located in Toowoomba, Queensland, Australia.. In 1929, after completing his training, he...[Read More] (Bio by: William Bjornstad)","French, Corp. John Alexander 'Jack'"
Browse by Country: Papua New Guinea,/cgi-bin/fg.cgi?page=gr&GRid=8170902,"World War II Victoria Cross Recipient. Kingsbury was born in Melbourne and educated at Windsor State School and Melbourne Technical College. He was working in his father's real-estate business at Northcote when he enlisted in the Australian Imperial Force on May 16, 1940. He was allotted service number VX19139 and posted to the 2/2nd Pioneer Battalion before transferring to the 2/14th Australian Infantry Battalion, 21st Brigade, 7th Australian Division. In October the battalion moved to the...[Read More] (Bio by: Anthony Staunton)","Kingsbury, Bruce Steel"
Browse by Country: Papua New Guinea,/cgi-bin/fg.cgi?page=gr&GRid=8170906,"World War II Victoria Cross Medal Recipient. He served as a Flight Lieutenant in the 22nd Squadron, Royal Australian Air Force. Leading an air attack at Salamauoa, New Guinea, March 16, 1943, Flight Lieutenant Newton flew through heavy enemy fire and was hit repeatedly. In spite of this he continued dropping bombs from low level on buildings and fuel dumps and managed to get his damaged aircraft back to base. On March 18, 1943, he returned to the target, bombed a single building, his aircraft...[Read More] (Bio by: John ""J-Cat"" Griffith)","Newton, William Ellis"
Browse by Country: Papua New Guinea,/cgi-bin/fg.cgi?page=gr&GRid=8170681,"World War II Victoria Cross Recipient. He received the award posthumously on November 2, 1944 for his actions as a corporal in the 3rd Battalion of the Fiji Infantry Regiment on June 23, 1944 during the first phase of the Bougainville Campaign in the Northern Solomon Islands of the South Pacific. Born in Yacata, Fiji, he joined the Fiji Infantry Regiment after the outbreak of World War II. He was killed in combat at the age of 26 while rescuing some wounded soldiers during a Japanese attack on...[Read More] (Bio by: William Bjornstad)","Sukanaivalu, Sefanaia"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=7996470,"World War I Victoria Cross Recipient. Born in Ashurst, New Zealand, he served as a Corporal in the 2nd Battalion Wellington Infantry Regiment, New Zealand Military Forces. On July 31, 1917 at La Bassee Ville, France, Corporal Andrew was in charge of a small party in an attack on the enemy's position. His objective was a machine-gun post which had been located in an isolated building, but on leading his men forward he encountered another machine-gun post which was holding up the advance of...[Read More] (Bio by: John ""J-Cat"" Griffith)","Andrew, Leslie Wilton"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=136321915,"Newspaper Proprietor and Editor, Politician, Prime Minister. The eldest of 11 children born to Samuel and Mary Ballance at Ballypitmave, near Glenavy in County Antrim, Ireland, John was educated at the local national school and at Wilson's Academy in Belfast, but he left school at the age of 14 and took on an apprenticeship with an ironmonger in Belfast. In 1857 he left Belfast for Birmingham, England. While in Birmingham John met Fanny Taylor and they married at St Peter and St Paul's Church...[Read More] (Bio by: Jo Cameron)","Ballance, John"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=7994291,"World War I Victoria Cross Recipient. Born at Auckland, New Zealand, he served as a Corporal in the New Zealand Signal Corps, British Army. At Gallipoli, Turkey, on August 7, 1915, after the New Zealand Brigade had attacked and established itself on the ridge, Corporal Bassett, started laying a telephone line from there old position to the new one on Chunuk Bair. In full daylight and under continuous fire, he succeeded in laying a telephone line. He also worked in the connection with the repair...[Read More] (Bio by: John ""J-Cat"" Griffith)","Bassett, Cyril Royston Guyton"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=7397269,"Auto Race Car Driver. He was known as the most successful rally driver in the Southern Hemisphere. For five years running he was Australasian Rally Champion, he's won all three of the Southern Hemisphere-Pacific region championships, and earned the title of Asia Pacific Rally Champion in 1993, 1994 and 2000. While checking out a rally course in New Zealand, he had a head-on collision with another car. He passed away in Dunedin Hospital from massive head injuries. (Bio by: Jeff J)","Bourne, Peter"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=8017283,"Shimonoseki Expedition Victoria Cross Medal Recipient. Born in Cheltenham, England, he served as a Midshipman in the Royal Navy. On September 6, 1864, Midshipman Boyes was a member of a raiding party from the HMS Euryalus on the enemy's stockade at Shimonoseki, Japan. During the assault Midshipman Boyes was in advance with the leading company which was under heavy fire. When two Royal Marine Colour-Sergeants had fallen, one mortally and the other dangerously wounded, Midshipman Boyes carried...[Read More] (Bio by: John ""J-Cat"" Griffith)","Boyes, Duncan Gordon"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=14268815,"Poet. He wrote New Zealand's National Anthem ""God Defend New Zealand"". It was published in 1876.","Bracken, Thomas"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=7994354,"World War I Victoria Cross Recipient. A native of Ireland, he was gazetted for the award on November 12, 1918 for his actions as a private in the 2nd Battalion, Auckland Infantry Regiment, New Zealand Expeditionary Force, on September 20, 1918 near Crevecoeur, France during the Hundred Days Offensive near the end of World War I. Corn in Carrickfergus, County Antrim, Ireland, he moved to Scotland with his family as an infant. As a young boy, he worked in the local coal mines. In 1897 he enlisted...[Read More] (Bio by: William Bjornstad)","Crichton, James"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=7122576,"Popular New Zealand radio personality. She worked as a reporter, presenter and talkshow host on radio, and presented regional and arts programs on TV-New Zealand (TVNZ) before becoming one of its national newsreaders. Angela also appeared as an actress, creating a controversy when she appeared topless in an early TV play, ""The Venus Touch."" She also wrote her autobiography, ""Angela: A Wonderful Life."" (Bio by: Jeff J)Cause of death: Cancer","D'Audney, Angela Louise"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=7996459,"Crimean War Victoria Cross Recipient. He received the award from British Royal Navy Captain Francis Marten at Gyah Bengal, British India on July 13, 1858 for his actions as a midshipman in the British Royal Navy Brigade on three separate occasions during the Crimean War. His Victoria Cross was later rescinded by British Queen Victoria due to his desertion from duty, giving him the distinction of being the first recipient to forfeit the award. Born in Clifton, Bristol, England, at the age of 14...[Read More] (Bio by: William Bjornstad)","Daniel, Edward St. John"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=135872242,"Roman Catholic Cardinal. Timaru born Reginald John Delargey was the eldest and only son in a family of six. Brought up by their father following the early death of his wife, Reginald received his education at the Catholic schools of Lawrence, Napier and Patea, entering later the Sacred Heart College in Auckland and the Holy Cross College in Mosgiel. Sent to Rome in order to further his studies at the Pontifical Urbanian Athenaeum in 1934, he was ordained priest there in March 1938. Back in New...[Read More] (Bio by: Eman Bonnici)","Delargey, Cardinal. Reginald John"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=11311187,"Indian Mutiny Victoria Cross Recipient. He received the award for his actions at Boolundshur, India on September 28, 1857 during the Indian Rebellion. Born in Portglenone, County Antrim, Ireland, he served as a sergeant in the Bengal Horse Artillery of the British Bengal Army. His Victoria Cross citation reads: ""For an act of valour performed in action against the rebels and mutineers at Boolundshur, on the 28th September, 1857, when these two soldiers [Bernard Diamond and Richard Fitzgerald]...[Read More] (Bio by: William Bjornstad)","Diamond, Bernard"
Browse by Country: Guam,/cgi-bin/fg.cgi?page=gr&GRid=14798700,"World War II Canine ""soldiers"" resting place.   Guam, an American possession, was invaded by the Japanese soon after the attack on Pearl Harbor.  The small Pacific island had little capabilities to defend itself but managed to hold out for several days.  A brutal almost three year occupation followed.  The Marines returned in 1944 and in their ranks was a full compliment of dogs, the 3rd Dog Platoon (Devil Dogs) especially trained for jungle warfare.  They could search out the occupiers from...[Read More] (Bio by: Donald Greyfield (inactive))",War Dog Memorial
Browse by Country: Guam,/cgi-bin/fg.cgi?page=gr&GRid=21434105,"US Congressman.  He was educated locally and became a school teacher and principal.  In 1936 he was elected to Guam's Advisory Congress.  When the Guam legislature was reorganized after the Japanese occupation during World War II, Won Pat won election to the Assembly in 1948.  He served until 1965 and was Speaker for all but one term.  A longtime advocate of US Territory status for Guam, in 1965 Won Pat was elected to serve as Guam's advocate in Washington, DC, and was reelected in 1968.  He...[Read More] (Bio by: Bill McKern)","Won Pat, Antonio Borja"
Browse by Country: New Zealand,/cgi-bin/fg.cgi?page=gr&GRid=7297687,"Covering over an acre of land in central Christchurch, New Zealand. Ballentynes Department store, which was considered the ""Harrods"" of New Zealand, was engulfed by flames within a matter of minutes, killing 41 people. It was the worst fire disaster in New Zealand to this day. All 41 people including 31 women were buried in a mass grave at Ruru Cemetery in Christchurch. The Coroner found that delays in calling the fire brigade, had contributed to the disaster. (Bio by: Jeff J)","Disaster, Ballentynes"
